checking_status,duration,loan_history,purpose,loan_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_loans,job,num_dependents,own_telephone,foreign_worker,accepted
<0DM,12,Critical_acct_other_loans_existing,new_car,2122,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,39,none,rent,u22,unskilled_resident,2,No,no,2
<0DM,24,Existing_loans_paid_till_now,furniture/equipment,2996,Unknown_or_no_savings_acct,1_to_4yrs,2,male_married/widowed,None,4,car_or_other_nonsavings,20,none,own,u1,skilled_employee/official,1,No,yes,1
0_to_200DM,36,Existing_loans_paid_till_now,furniture/equipment,9034,100_to_500DM,<1yr,4,male_single,co-applicant,1,unknown/no_property,29,none,rent,1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
None,24,Critical_acct_other_loans_existing,furniture/equipment,1585,<100DM,4_to_7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,40,none,own,22,skilled_employee/official,1,No,yes,2
0_to_200DM,18,Existing_loans_paid_till_now,radio/television,1301,<100DM,>7yrs,4,male_married/widowed,guarantor,2,real_estate,32,none,own,f1,unskilled_resident,1,No,yes,2
>200DM,6,Critical_acct_other_loans_existing,new_car,1323,100_to_500DM,>7yrs,2,male_divorced/separated,None,4,car_or_other_nonsavings,28,none,own,f22,skilled_employee/official,2,Yes,yes,2
<0DM,24,Existing_loans_paid_till_now,new_car,3123,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,27,none,own,e1,skilled_employee/official,1,No,yes,1
<0DM,36,Existing_loans_paid_till_now,used_car,5493,<100DM,>7yrs,2,male_single,None,4,unknown/no_property,42,none,for_free,1,skilled_employee/official,2,No,yes,2
>200DM,9,Existing_loans_paid_till_now,radio/television,1126,100_to_500DM,>7yrs,2,male_divorced/separated,None,4,real_estate,49,none,own,u1,skilled_employee/official,1,No,yes,2
0_to_200DM,24,Critical_acct_other_loans_existing,radio/television,1216,100_to_500DM,<1yr,4,male_single,None,4,unknown/no_property,38,bank,own,nq22,skilled_employee/official,2,No,yes,1
<0DM,24,Existing_loans_paid_till_now,new_car,1207,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,none,rent,h1,skilled_employee/official,1,No,yes,1
None,10,Existing_loans_paid_till_now,new_car,1309,Unknown_or_no_savings_acct,1_to_4yrs,4,male_single,guarantor,4,building_society_savings_agreement/life_insurance,27,none,own,wj1,unskilled_resident,1,No,yes,1
>200DM,15,Critical_acct_other_loans_existing,used_car,2360,500_to_1000DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,36,none,own,ru1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,15,All_loans_paid_duly,new_car,6850,100_to_500DM,unemployed,1,male_single,None,2,building_society_savings_agreement/life_insurance,34,none,own,n1,management_self-employed_highly_qualified/officer,2,Yes,yes,1
None,24,Existing_loans_paid_till_now,radio/television,1413,<100DM,1_to_4yrs,4,male_married/widowed,None,2,building_society_savings_agreement/life_insurance,28,none,own,1,skilled_employee/official,1,No,yes,2
None,39,Existing_loans_paid_till_now,used_car,8588,100_to_500DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,45,none,own,ov1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
<0DM,12,Existing_loans_paid_till_now,new_car,759,<100DM,4_to_7yrs,4,male_single,None,2,real_estate,26,none,own,1,skilled_employee/official,1,No,yes,1
None,36,Existing_loans_paid_till_now,used_car,4686,<100DM,1_to_4yrs,2,male_single,None,2,unknown/no_property,32,none,for_free,jr1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
>200DM,15,Existing_loans_paid_till_now,business,2687,<100DM,4_to_7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,26,none,rent,1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,12,Delay_in_past,radio/television,585,<100DM,1_to_4yrs,4,male_married/widowed,co-applicant,4,real_estate,20,none,rent,22,skilled_employee/official,1,No,yes,2
None,24,Existing_loans_paid_till_now,new_car,2255,Unknown_or_no_savings_acct,<1yr,4,male_single,None,1,building_society_savings_agreement/life_insurance,54,none,own,q1,skilled_employee/official,1,No,yes,2
<0DM,6,Critical_acct_other_loans_existing,new_car,609,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,37,none,own,y22,skilled_employee/official,1,No,no,2
<0DM,6,Critical_acct_other_loans_existing,new_car,1361,<100DM,<1yr,2,male_single,None,4,real_estate,40,none,own,1,unskilled_resident,2,No,no,2
None,36,Critical_acct_other_loans_existing,furniture/equipment,7127,<100DM,<1yr,2,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,23,none,rent,sv22,skilled_employee/official,1,Yes,yes,1
<0DM,6,Existing_loans_paid_till_now,new_car,1203,100_to_500DM,>7yrs,3,male_single,None,2,building_society_savings_agreement/life_insurance,43,none,own,1,skilled_employee/official,1,Yes,yes,2
None,6,Critical_acct_other_loans_existing,radio/television,700,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,36,none,for_free,22,skilled_employee/official,1,No,yes,2
None,24,Critical_acct_other_loans_existing,repairs,5507,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,44,none,for_free,h22,skilled_employee/official,1,No,yes,2
<0DM,18,Existing_loans_paid_till_now,radio/television,3190,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,real_estate,24,none,own,qll1,skilled_employee/official,1,No,yes,1
<0DM,48,No_loans_taken_or_all_paid,furniture/equipment,7119,<100DM,1_to_4yrs,3,male_single,None,4,unknown/no_property,53,none,for_free,22,skilled_employee/official,2,No,yes,1
None,24,Existing_loans_paid_till_now,used_car,3488,100_to_500DM,4_to_7yrs,3,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,none,own,o1,skilled_employee/official,1,No,yes,2
0_to_200DM,18,Existing_loans_paid_till_now,radio/television,1113,<100DM,1_to_4yrs,4,female_divorced/separated/married,guarantor,4,real_estate,26,none,own,g1,unskilled_resident,2,No,yes,2
0_to_200DM,26,Existing_loans_paid_till_now,used_car,7966,<100DM,<1yr,2,male_single,None,3,car_or_other_nonsavings,30,none,own,f22,skilled_employee/official,1,No,yes,2
None,15,Critical_acct_other_loans_existing,education,1532,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,3,car_or_other_nonsavings,31,none,own,1,skilled_employee/official,1,No,yes,2
None,4,Critical_acct_other_loans_existing,radio/television,1503,<100DM,4_to_7yrs,2,male_single,None,1,real_estate,42,none,own,ko22,unskilled_resident,2,No,yes,2
<0DM,36,Existing_loans_paid_till_now,radio/television,2302,<100DM,1_to_4yrs,4,male_divorced/separated,None,4,car_or_other_nonsavings,31,none,rent,d1,skilled_employee/official,1,No,yes,1
<0DM,6,Existing_loans_paid_till_now,new_car,662,<100DM,<1yr,3,male_single,None,4,real_estate,41,none,own,k1,unskilled_resident,2,Yes,yes,2
0_to_200DM,36,Existing_loans_paid_till_now,education,2273,<100DM,4_to_7yrs,3,male_single,None,1,car_or_other_nonsavings,32,none,own,22,skilled_employee/official,2,No,yes,2
0_to_200DM,15,Existing_loans_paid_till_now,new_car,2631,100_to_500DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,none,rent,22,skilled_employee/official,1,Yes,yes,1
None,12,Delay_in_past,used_car,1503,<100DM,1_to_4yrs,4,male_married/widowed,None,4,real_estate,41,none,rent,1,skilled_employee/official,1,No,yes,2
None,24,Existing_loans_paid_till_now,radio/television,1311,100_to_500DM,4_to_7yrs,4,male_married/widowed,None,3,building_society_savings_agreement/life_insurance,26,none,own,t1,skilled_employee/official,1,Yes,yes,2
None,24,Existing_loans_paid_till_now,radio/television,3105,Unknown_or_no_savings_acct,<1yr,4,male_single,None,2,car_or_other_nonsavings,25,none,own,t22,skilled_employee/official,1,No,yes,2
>200DM,21,Critical_acct_other_loans_existing,education,2319,<100DM,<1yr,2,male_divorced/separated,None,1,car_or_other_nonsavings,33,none,rent,y1,skilled_employee/official,1,No,yes,1
<0DM,6,Existing_loans_paid_till_now,new_car,1374,Unknown_or_no_savings_acct,unemployed,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,75,none,own,cfz1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
0_to_200DM,18,Critical_acct_other_loans_existing,furniture/equipment,3612,<100DM,>7yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,37,none,own,s1,skilled_employee/official,1,Yes,yes,2
<0DM,48,Existing_loans_paid_till_now,new_car,7763,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,42,bank,for_free,ju1,management_self-employed_highly_qualified/officer,1,No,yes,1
>200DM,18,Existing_loans_paid_till_now,furniture/equipment,3049,<100DM,<1yr,1,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,45,stores,own,b1,unskilled_resident,1,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,radio/television,1534,<100DM,<1yr,1,male_married/widowed,None,1,real_estate,23,none,rent,1,skilled_employee/official,1,No,yes,1
None,24,Delay_in_past,new_car,2032,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,60,none,for_free,pq22,skilled_employee/official,1,Yes,yes,2
<0DM,30,Existing_loans_paid_till_now,furniture/equipment,6350,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,31,none,own,y1,skilled_employee/official,1,No,yes,1
>200DM,18,Existing_loans_paid_till_now,furniture/equipment,2864,<100DM,1_to_4yrs,2,male_single,None,1,real_estate,34,none,own,y1,unskilled_resident,2,No,yes,1
None,12,Critical_acct_other_loans_existing,new_car,1255,<100DM,>7yrs,4,male_single,None,4,real_estate,61,none,own,ep22,unskilled_resident,1,No,yes,2
<0DM,24,Delay_in_past,new_car,1333,<100DM,unemployed,4,male_single,None,2,real_estate,43,none,for_free,l22,skilled_employee/official,2,No,yes,1
None,24,Critical_acct_other_loans_existing,new_car,2022,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,37,none,own,z1,skilled_employee/official,1,Yes,yes,2
None,24,Existing_loans_paid_till_now,radio/television,1552,<100DM,4_to_7yrs,3,male_single,None,1,car_or_other_nonsavings,32,bank,own,x1,skilled_employee/official,2,No,yes,2
<0DM,12,All_loans_paid_duly,radio/television,626,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,real_estate,24,bank,own,1,unskilled_resident,1,No,yes,1
None,48,Critical_acct_other_loans_existing,used_car,8858,Unknown_or_no_savings_acct,4_to_7yrs,2,male_single,None,1,unknown/no_property,35,none,for_free,d22,skilled_employee/official,1,Yes,yes,2
None,12,Critical_acct_other_loans_existing,repairs,996,Unknown_or_no_savings_acct,4_to_7yrs,4,female_divorced/separated/married,None,4,real_estate,23,none,own,z22,skilled_employee/official,1,No,yes,2
None,6,All_loans_paid_duly,radio/television,1750,500_to_1000DM,>7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,45,bank,own,1,unskilled_resident,2,No,yes,2
<0DM,48,Existing_loans_paid_till_now,radio/television,6999,<100DM,4_to_7yrs,1,male_married/widowed,guarantor,1,real_estate,34,none,own,q22,skilled_employee/official,1,Yes,yes,1
0_to_200DM,12,Critical_acct_other_loans_existing,new_car,1995,100_to_500DM,<1yr,4,male_single,None,1,car_or_other_nonsavings,27,none,own,1,skilled_employee/official,1,No,yes,2
0_to_200DM,9,Existing_loans_paid_till_now,education,1199,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,67,none,own,kw22,management_self-employed_highly_qualified/officer,1,Yes,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,radio/television,1331,<100DM,<1yr,2,male_single,None,1,car_or_other_nonsavings,22,stores,own,i1,skilled_employee/official,1,No,yes,1
0_to_200DM,18,No_loans_taken_or_all_paid,new_car,2278,100_to_500DM,<1yr,3,female_divorced/separated/married,None,3,car_or_other_nonsavings,28,none,own,22,skilled_employee/official,1,No,yes,1
None,21,No_loans_taken_or_all_paid,new_car,5003,Unknown_or_no_savings_acct,1_to_4yrs,1,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,29,bank,own,u22,skilled_employee/official,1,Yes,yes,1
<0DM,24,All_loans_paid_duly,furniture/equipment,3552,<100DM,4_to_7yrs,3,male_single,None,4,car_or_other_nonsavings,27,bank,own,zn1,skilled_employee/official,1,No,yes,1
0_to_200DM,18,Critical_acct_other_loans_existing,furniture/equipment,1928,<100DM,<1yr,2,male_single,None,2,real_estate,31,none,own,x22,unskilled_resident,1,No,yes,1
<0DM,24,Existing_loans_paid_till_now,used_car,2964,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,49,bank,for_free,1,skilled_employee/official,2,Yes,yes,2
<0DM,24,All_loans_paid_duly,radio/television,1546,<100DM,4_to_7yrs,4,male_single,guarantor,4,car_or_other_nonsavings,24,bank,rent,j1,unskilled_resident,1,No,yes,1
>200DM,6,Delay_in_past,radio/television,683,<100DM,<1yr,2,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,29,bank,own,nr1,skilled_employee/official,1,No,yes,2
0_to_200DM,36,Existing_loans_paid_till_now,new_car,12389,Unknown_or_no_savings_acct,1_to_4yrs,1,male_single,None,4,unknown/no_property,37,none,for_free,np1,skilled_employee/official,1,Yes,yes,1
0_to_200DM,24,Delay_in_past,business,4712,Unknown_or_no_savings_acct,1_to_4yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,37,bank,own,t22,management_self-employed_highly_qualified/officer,1,Yes,yes,2
0_to_200DM,24,Delay_in_past,radio/television,1553,100_to_500DM,4_to_7yrs,3,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,none,rent,22,skilled_employee/official,1,Yes,yes,2
<0DM,12,Existing_loans_paid_till_now,new_car,1372,<100DM,4_to_7yrs,2,male_divorced/separated,None,3,car_or_other_nonsavings,36,none,own,e1,skilled_employee/official,1,No,yes,1
None,24,Critical_acct_other_loans_existing,radio/television,2578,>1000DM,>7yrs,2,male_single,None,2,car_or_other_nonsavings,34,none,own,x1,skilled_employee/official,1,No,yes,2
0_to_200DM,48,Existing_loans_paid_till_now,radio/television,3979,Unknown_or_no_savings_acct,4_to_7yrs,4,male_single,None,1,car_or_other_nonsavings,41,none,own,nb22,skilled_employee/official,2,Yes,yes,2
<0DM,48,Existing_loans_paid_till_now,radio/television,6758,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,31,none,own,g1,skilled_employee/official,1,Yes,yes,1
<0DM,24,Existing_loans_paid_till_now,furniture/equipment,3234,<100DM,<1yr,4,female_divorced/separated/married,None,4,real_estate,23,none,rent,1,unskilled_resident,1,Yes,yes,1
None,30,Critical_acct_other_loans_existing,radio/television,5954,<100DM,4_to_7yrs,3,male_single,co-applicant,2,car_or_other_nonsavings,38,none,own,eo1,skilled_employee/official,1,No,yes,2
None,24,Existing_loans_paid_till_now,used_car,5433,Unknown_or_no_savings_acct,unemployed,2,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,26,none,rent,1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
<0DM,15,Existing_loans_paid_till_now,business,806,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,22,none,own,f1,unskilled_resident,1,No,yes,2
0_to_200DM,9,Existing_loans_paid_till_now,radio/television,1082,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,27,none,own,dp22,unskilled_resident,1,No,yes,2
None,15,Critical_acct_other_loans_existing,furniture/equipment,2788,<100DM,4_to_7yrs,2,female_divorced/separated/married,co-applicant,3,car_or_other_nonsavings,24,bank,own,22,skilled_employee/official,1,No,yes,2
0_to_200DM,12,Existing_loans_paid_till_now,radio/television,2930,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,1,real_estate,27,none,own,w1,skilled_employee/official,1,No,yes,2
None,24,Critical_acct_other_loans_existing,education,1927,Unknown_or_no_savings_acct,1_to_4yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,33,none,own,22,skilled_employee/official,1,Yes,yes,2
0_to_200DM,36,Critical_acct_other_loans_existing,new_car,2820,<100DM,<1yr,4,male_divorced/separated,None,4,car_or_other_nonsavings,27,none,own,22,skilled_employee/official,1,No,yes,1
None,24,Existing_loans_paid_till_now,retraining,937,<100DM,<1yr,4,male_married/widowed,None,3,car_or_other_nonsavings,27,none,own,va22,unskilled_resident,1,No,yes,2
0_to_200DM,18,Critical_acct_other_loans_existing,new_car,1056,<100DM,>7yrs,3,male_single,guarantor,3,real_estate,30,bank,own,bd22,skilled_employee/official,1,No,yes,1
0_to_200DM,12,Critical_acct_other_loans_existing,new_car,3124,<100DM,<1yr,1,male_single,None,3,real_estate,49,bank,own,gi22,unskilled_resident,2,No,yes,2
None,9,Existing_loans_paid_till_now,furniture/equipment,1388,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,real_estate,26,none,rent,1,skilled_employee/official,1,No,yes,2
0_to_200DM,36,Existing_loans_paid_till_now,repairs,2384,<100DM,<1yr,4,male_single,None,1,unknown/no_property,33,none,rent,a1,unskilled_resident,1,No,yes,1
None,12,Existing_loans_paid_till_now,new_car,2133,Unknown_or_no_savings_acct,>7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,52,none,for_free,rl1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
<0DM,18,Existing_loans_paid_till_now,furniture/equipment,2039,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,4,real_estate,20,bank,rent,z1,skilled_employee/official,1,No,yes,1
<0DM,9,Critical_acct_other_loans_existing,new_car,2799,<100DM,1_to_4yrs,2,male_single,None,2,real_estate,36,none,rent,22,skilled_employee/official,2,No,yes,2
<0DM,12,Existing_loans_paid_till_now,furniture/equipment,1289,<100DM,1_to_4yrs,4,male_single,guarantor,1,building_society_savings_agreement/life_insurance,21,none,own,s1,unskilled_resident,1,No,yes,2
<0DM,18,Existing_loans_paid_till_now,domestic_appliances,1217,<100DM,1_to_4yrs,4,male_married/widowed,None,3,real_estate,47,none,own,wx1,unskilled_resident,1,Yes,yes,1
<0DM,12,Critical_acct_other_loans_existing,furniture/equipment,2246,<100DM,>7yrs,3,male_single,None,3,building_society_savings_agreement/life_insurance,60,none,own,22,skilled_employee/official,1,No,yes,1
<0DM,12,Critical_acct_other_loans_existing,radio/television,385,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,3,real_estate,58,none,own,rfh4444,unskilled_resident,1,Yes,yes,2
0_to_200DM,24,Delay_in_past,new_car,1965,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,42,none,rent,n22,skilled_employee/official,1,Yes,yes,2
None,21,Existing_loans_paid_till_now,business,1572,>1000DM,>7yrs,4,female_divorced/separated/married,None,4,real_estate,36,bank,own,a1,unskilled_resident,1,No,yes,2
0_to_200DM,24,Existing_loans_paid_till_now,new_car,2718,<100DM,1_to_4yrs,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,20,none,rent,zs1,unskilled_resident,1,Yes,yes,1
<0DM,24,All_loans_paid_duly,other,1358,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,3,car_or_other_nonsavings,40,stores,own,g1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
0_to_200DM,6,All_loans_paid_duly,new_car,931,100_to_500DM,<1yr,1,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,32,stores,own,yi1,unskilled_resident,1,No,yes,1
<0DM,24,Existing_loans_paid_till_now,new_car,1442,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,23,none,rent,e22,skilled_employee/official,1,No,yes,1
0_to_200DM,24,No_loans_taken_or_all_paid,business,4241,<100DM,1_to_4yrs,1,male_single,None,4,real_estate,36,none,own,lxy333,unskilled_resident,1,Yes,yes,1
None,18,Critical_acct_other_loans_existing,new_car,2775,<100DM,4_to_7yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,31,bank,own,qz22,skilled_employee/official,1,No,yes,1
None,24,Delay_in_past,business,3863,<100DM,1_to_4yrs,1,male_single,None,2,unknown/no_property,32,none,for_free,t1,skilled_employee/official,1,No,yes,2
0_to_200DM,7,Existing_loans_paid_till_now,radio/television,2329,<100DM,<1yr,1,female_divorced/separated/married,guarantor,1,real_estate,45,none,own,po1,skilled_employee/official,1,No,yes,2
0_to_200DM,9,Existing_loans_paid_till_now,furniture/equipment,918,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,30,none,own,1,skilled_employee/official,1,No,yes,1
0_to_200DM,24,All_loans_paid_duly,education,1837,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,34,bank,for_free,1,unskilled_resident,1,No,yes,1
None,36,Existing_loans_paid_till_now,furniture/equipment,3349,<100DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,28,none,own,hl1,management_self-employed_highly_qualified/officer,1,Yes,yes,1
>200DM,10,Existing_loans_paid_till_now,furniture/equipment,1275,<100DM,<1yr,4,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,none,own,1,skilled_employee/official,1,No,yes,2
<0DM,24,All_loans_paid_duly,furniture/equipment,2828,500_to_1000DM,1_to_4yrs,4,male_single,None,4,real_estate,22,stores,own,x1,skilled_employee/official,1,Yes,yes,2
None,24,Critical_acct_other_loans_existing,business,4526,<100DM,1_to_4yrs,3,male_single,None,2,real_estate,74,none,own,g1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
0_to_200DM,36,Existing_loans_paid_till_now,radio/television,2671,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,50,none,for_free,p1,skilled_employee/official,1,No,yes,1
None,18,Existing_loans_paid_till_now,radio/television,2051,<100DM,<1yr,4,male_single,None,1,real_estate,33,none,own,h1,skilled_employee/official,1,No,yes,2
None,15,Existing_loans_paid_till_now,used_car,1300,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,45,bank,for_free,o1,skilled_employee/official,2,No,yes,2
<0DM,12,Existing_loans_paid_till_now,domestic_appliances,741,100_to_500DM,unemployed,4,female_divorced/separated/married,None,3,building_society_savings_agreement/life_insurance,22,none,own,1,skilled_employee/official,1,No,yes,1
>200DM,10,Existing_loans_paid_till_now,new_car,1240,100_to_500DM,>7yrs,1,female_divorced/separated/married,None,4,unknown/no_property,48,none,for_free,s1,unskilled_resident,2,No,yes,1
<0DM,21,Existing_loans_paid_till_now,radio/television,3357,>1000DM,<1yr,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,29,bank,own,1,skilled_employee/official,1,No,yes,2
<0DM,24,All_loans_paid_duly,used_car,3632,<100DM,1_to_4yrs,1,female_divorced/separated/married,guarantor,4,car_or_other_nonsavings,22,bank,rent,1,skilled_employee/official,1,No,no,2
None,18,Delay_in_past,furniture/equipment,1808,<100DM,4_to_7yrs,4,female_divorced/separated/married,None,1,real_estate,22,none,own,y1,skilled_employee/official,1,No,yes,1
0_to_200DM,48,No_loans_taken_or_all_paid,business,12204,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,48,bank,own,um1,management_self-employed_highly_qualified/officer,1,Yes,yes,2
0_to_200DM,60,Delay_in_past,radio/television,9157,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,unknown/no_property,27,none,for_free,w1,management_self-employed_highly_qualified/officer,1,No,yes,2
<0DM,6,Critical_acct_other_loans_existing,new_car,3676,<100DM,1_to_4yrs,1,male_single,None,3,real_estate,37,none,rent,o333,skilled_employee/official,2,No,yes,2
0_to_200DM,30,Existing_loans_paid_till_now,furniture/equipment,3441,100_to_500DM,1_to_4yrs,2,female_divorced/separated/married,co-applicant,4,car_or_other_nonsavings,21,none,rent,s1,skilled_employee/official,1,No,yes,1
None,12,Existing_loans_paid_till_now,new_car,640,<100DM,1_to_4yrs,4,male_divorced/separated,None,2,real_estate,49,none,own,c1,unskilled_resident,1,No,yes,2
0_to_200DM,21,Critical_acct_other_loans_existing,business,3652,<100DM,4_to_7yrs,2,male_single,None,3,building_society_savings_agreement/life_insurance,27,none,own,22,skilled_employee/official,1,No,yes,2
None,18,Critical_acct_other_loans_existing,new_car,1530,<100DM,1_to_4yrs,3,male_single,None,2,building_society_savings_agreement/life_insurance,32,bank,own,22,skilled_employee/official,1,No,yes,1
None,48,Existing_loans_paid_till_now,business,3914,Unknown_or_no_savings_acct,1_to_4yrs,4,male_divorced/separated,None,2,real_estate,38,bank,own,w1,skilled_employee/official,1,No,yes,1
<0DM,12,Existing_loans_paid_till_now,furniture/equipment,1858,<100DM,<1yr,4,female_divorced/separated/married,None,1,car_or_other_nonsavings,22,none,rent,j1,skilled_employee/official,1,No,yes,2
<0DM,18,Existing_loans_paid_till_now,radio/television,2600,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,65,none,for_free,ay22,skilled_employee/official,1,No,yes,1
None,15,Existing_loans_paid_till_now,radio/television,1979,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,2,car_or_other_nonsavings,35,none,own,1,skilled_employee/official,1,No,yes,2
>200DM,6,Existing_loans_paid_till_now,furniture/equipment,2116,<100DM,1_to_4yrs,2,male_single,None,2,real_estate,41,none,own,w1,skilled_employee/official,1,Yes,yes,2
0_to_200DM,9,All_loans_paid_duly,new_car,1437,100_to_500DM,4_to_7yrs,2,male_single,None,3,unknown/no_property,29,none,own,iw1,skilled_employee/official,1,No,yes,1
None,42,Critical_acct_other_loans_existing,furniture/equipment,4042,500_to_1000DM,1_to_4yrs,4,male_single,None,4,real_estate,36,none,own,vx22,skilled_employee/official,1,Yes,yes,2
None,9,Existing_loans_paid_till_now,education,3832,Unknown_or_no_savings_acct,>7yrs,1,male_single,None,4,real_estate,64,none,own,z1,unskilled_resident,1,No,yes,2
<0DM,24,Existing_loans_paid_till_now,radio/television,3660,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,none,own,wq1,skilled_employee/official,1,No,yes,2
<0DM,18,All_loans_paid_duly,furniture/equipment,1553,<100DM,1_to_4yrs,4,male_single,None,3,car_or_other_nonsavings,44,bank,own,1,skilled_employee/official,1,No,yes,1
0_to_200DM,15,Existing_loans_paid_till_now,radio/television,1444,Unknown_or_no_savings_acct,<1yr,4,male_single,None,1,building_society_savings_agreement/life_insurance,23,none,own,d1,skilled_employee/official,1,No,yes,2
None,9,Existing_loans_paid_till_now,furniture/equipment,1980,<100DM,<1yr,2,female_divorced/separated/married,co-applicant,2,car_or_other_nonsavings,19,none,rent,a22,skilled_employee/official,1,No,yes,1
0_to_200DM,24,Existing_loans_paid_till_now,new_car,1355,<100DM,<1yr,3,female_divorced/separated/married,None,4,car_or_other_nonsavings,25,none,own,w1,unskilled_resident,1,Yes,yes,1
None,12,Existing_loans_paid_till_now,education,1393,<100DM,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,47,bank,own,et333,skilled_employee/official,2,Yes,yes,2
None,24,Existing_loans_paid_till_now,radio/television,1376,500_to_1000DM,4_to_7yrs,4,female_divorced/separated/married,None,1,car_or_other_nonsavings,28,none,own,vgn1,skilled_employee/official,1,No,yes,2
None,60,Delay_in_past,radio/television,15653,<100DM,4_to_7yrs,2,male_single,None,4,car_or_other_nonsavings,21,none,own,i22,skilled_employee/official,1,Yes,yes,2
